cena,lokacija,velikost,leto,vrsta,podvrsta,prodajalec,opis
"1.300.000,00",LJ. MOSTE,"260,4",1897,Hiša, Samostojna,"STAN nepremičnine d.o.o., Ljubljana ","Uspešni investitorji dolgoročno prepoznajo priložnosti, ki jih tudi izkoristijo. V naš vsakdan je posegla drugačnost a vseeno investicije v nepremičninske projekte ostajajo najbolj varna naložba. Predmet investicijskega projekta, ki bo zagotovo privabil vse, ki občudujete vir narave na eni strani in infrastrukturo ter prepoznavnost mesta na drugi. Predstavljamo vam priložnost, ki se pojavi redko in ji je vredno prisluhniti. Za vse, ki imate vizijo in zgodbo, ter ste mnenja, da lahko ustvarite novost na trgu. Predvsem je zanimiva preureditev objekta v gostinski lokal, ki bi na tem delu prišel do izraza saj mesto potrebuje novo balado (podoben primer kot Lokus v Šiški). Lokacija je izredno prepoznavna in zanimiva, saj je nedolgo nazaj je tam obratovala uspešna gostilna. Za parkiranje je poskrbljeno.  Dobrodošli v novo podjetniško zgodbo, ki vam jo bomo predstavili v naših prostorih. V agenciji Stan nepremičnine vam ponujamo BREZPLAČEN POSVET pri prodaji vaše nepremičnine in nakupu nepremičnine, ki najbolj ustreza vašim željam in življenjskem slogu. Stopite v stik z nami in si rezervirajte vam ustrezen termin. "
"879.000,00",LJ. MOSTE,"416,2",2011,Hiša, Samostojna,MESTO NEPREMIČNIN d.o.o. ,"Samostojna hiša v Sostrem(P+1+M, l. 2011, 5 stanovanj) V Sostrem prodamo samostojno hišo, v kateri je izdelanih 5 stanovanjskih enot, ki omogočajo tržno oddajo z letnim RVC-jem v višini 40.000 €. Nakup je odlična priložnost za investicijo. Hiša obsega štiri 2-sobna stanovanja in eno 4-sobno stanovanje. Enote so med seboj popolnoma ločene, vgrajen je kalorimeter in odštevalnik za elektriko. V ceno je vključena vsa oprema. Pred objektom je na dvorišču prostor za 10 vozil. Hiša se nahaja na odlični lokaciji, v bližini vse potrebne infrastrukture (LPP, vrtec, šola, AC priključek). OSNOVNE ZNAČILNOSTI Parkirno mesto: da, cca 10 parkirnih mest Garaža: ne Število stanovanj: 5 stanovanj znotraj hiše Opremljeno: kompletno opremljeno POVRŠINA Skupne površine: 416,2 m2 Površina zemljišča: 563 m2 RAZPOREDITEV SOB PRITLIČJE: dvosobno in štirisobno stanovanje PRVO NADSTROPJE: dvosobno stanovanje MANSARDA: dve dvosobni stanovanji OPREMA Oprema vključena v ceno: da, hiša se prodaja kompletno opremljena Protivlomna vrata z domofonom Hiša je grajena klasično (armiran beton in opeka, vrhunska protipotresna statika, kvalitetno temeljenje)  PRIKLJUČKI Internet: da Ogrevanje: toplotna črpalka  PRENOVA Hiša je bila zgrajena l. 2011 LEGA Vse smeri neba INFRASTRUKTURA Odlična lokacija zagotavlja bivanje v mirnem in urejenem naselju, s hitrim dostopom do vse potrebne infrastrukture ter do avtoceste. V bližini se nahajajo: šola (2 min), vrtec (3 min), igrišča, lekarna (5 min), trgovina (2 min) itd.  DODATNO Možno vzeti v račun stanovanje, starejšo hišo ali parcelo v Ljubljani in okolici Ljubljane. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"879.000,00",LJ. MOSTE,"416,2",2011,Hiša, Samostojna,"Aeon nepremičnine, d.o.o. ","Posredujem pri prodaji čudovite, velike eno družinske hiše v Sostrem. Nahaja se v mirnem, urejenem okolju novozgrajenih hiš in v bližini LPP postajališča. Hiša ima ogromno tlakovano parkirišče in velik atrij. Odlikuje jo klasična gradnja (armiran beton in opeka, vrhunska protipotresna statika, izredno kvalitetno temeljenje, dvoslojna okna VE/KA profil, protivlomna ALU vhodna vrata, domofon, talno gretje – toplotna črpalka Fujitsu).Hiša se prodaja popolnoma opremljena. Je zanimiva za vse, ki bi si želeli mirnega bivanja v bližini narave, saj je takoj za hišo gozdiček.  Hiša ima veliko prostora, zato omogoča tudi medgeneracijsko sožitje s tistimi, ki jih imate radi. Če bi se radi preselili v dve popolnoma ločeni stanovanjski enoti z ločenimi kalorimetri in električnimi odštevalniki s svojimi ostarelimi starši, prijatelji  ali pa bi želeli rešiti stanovanjski problem svojim otrokom, je ta hiša prava za vas. Lastnik  je predvidel različne – tudi investicijske možnosti – zato je v teku postopek za pridobitev uporabnega dovoljenja za dvostanovanjsko hišo. Hiša je namreč zasnovana tako, da omogoča vse naštete možnosti. Možna je tudi menjava vaše nepremičnine, ki jo lastnik vzame v ceno ter doplačilo po dogovoru.  Z veseljem vam odgovorim na vsa vaša vprašanja in vas peljem na ogled – kontaktirajte me. Ogled nepremičnine na povezavi: https://storage.net-fs.com/hosting/7128486/1/"
"cca 450.000,00",BRDO,89,1927,Hiša, Samostojna,Zasebna ponudba,"Prodamo starejšo hišo, ki je primerna za rušenje in novogradnjo na obstoječi parceli.Stoji na vogalni parceli v velikosti 517m2 , ki se nahaja na odlični  lokaciji na Brdu, v bližini tehnološkega parka in tako predstavlja odlično priložnost za novogradnjo na iskani lokaciji. Priključki na parceli :-voda-kanalizacija-elektrika-optika-plin Polovični delež parcele bo naprodaj nekje pomladi/poleti l.2022(čaka se vpis dedičev v zemljiško knjigo), drugo polovico pa je možno kupiti že sedaj(V tem primeru bi novi solastnik imel predkupno pravico do deleža, ki ga bo možno odkupiti  l.2022). Ponudbe zbiramo na parcelabrdo1@gmail.com Za dodatne informacije sem na telefon dosegljiv ob koncu tedna(sobota,nedelja popoldne) na : 040-16 29-29"
"cca 1.690.000,00",LJ. MOSTE,489,2013,Hiša, Samostojna,"Moja vila, Tina Dolinar s.p. ","Hiša je v treh etažah: PK, VP, N Razporeditev: Polklet - velika soba za druženje s kaminom, vinska klet, soba, kopalnica, kurilnica,utility in shramba, izhod na dvorišče Visoko pritličje - impozanten bivalni prostor s kuhinjo, jedilnico in dnevno sobo, kamin. Zelo lepo, čudovito. Oprema Poliform. Zimski vrt, kjer je Turška sauna s tušem, jakuzzi. Oaza miru. Velika spalnica s kopalnico. Nadstropje - dve ločeni stanovanji - dvosobni, soba za goste s kopalnico. ogrevanje je na plin, talno gretje, konvektorji. celotna hiša je obdana z betonsko ograjo. video nadzor in alarmni sistem. Hiša nudi visoko kvaliteto bivanja. pogoj lastnika pri prodaji: kupec plača davek na promet nepremičnin v višini 2% prodajne cene. "
"1.690.000,00",LJ. MOSTE,489,2013,Hiša, Samostojna,"Stoja trade, d.o.o., Ljubljana ","Prodamo zelo kvalitetno izdelano hišo, ki se nahaja na mirni lokaciji v Mostah, v neposredni bližini vse potrebne infrastrukture. Hiša je moderno opremljena z opremo višje kakovosti. Pohištvo je izdelano po meri, parket in okna so troslojna. Hiša ima vgrajen sistem varovanja in je obdana z betonsko ograjo.    Razporeditev prostorov:     Pritličje z razkošno dnevno sobo s kaminom, jedilnico, kuhinjo, garderobno sobo, spalnico s svojo kopalnico, teraso z masažnim bazenom ter teraso z izhodom na vrt.     1. nadstropje ima dve ločeni dvosobni stanovanji s teraso ter dodatno sobo za goste s kopalnico.     V kleti je velika soba za druženje, vinska klet, kamin, soba za goste s kopalnico, kurilnica (ogrevanje na plin), shramba in utility.     Na dvorišču je omogočeno parkiranje za 10 avtomobilov.     Hiša je opremljena, klimatizirana in vseljiva v kratkem.     Pogoj lastnika za sklenitev posla: Kupec plača davek na promet nepremičnin v višini 2 % prodajne cene. "
"1.650.000,00","LJ. MOSTE, BLIŽINA DOMA ŠPANSKIH BORCEV",489,2013,Hiša, Samostojna,"STAN nepremičnine d.o.o., Ljubljana ","Prodamo verjetno eno najlepših hiš, ki se trenutno prodajajo v Ljubljani. Luksuzna nadstandardna hiša se nahaja na mirni neprometni ulici v bližini tržnice Moste. Hiša je moderno zasnovana, popolnoma opremljena s pohištvom, ki je izdelano po meri. Ima tri etaže in sicer pol klet, vsi prostori imajo dnevno svetlobo, pritličje in nadstropje. V kleti se nahaja velika kmečka soba primerna za druženje z velikim kaminom kopalnico z sanitarijami, kurilnica (talno gretje, mestni plin),shramba, utility in izhod na dvorišče. V pritličju,(oprema Poliform) se nahajajo sanitarije za goste, kuhinja v povezavi z jedilnico, velikim dnevnim prostorom (kamin),zimski vrt, turška savna ,jakuzzi in kopalnico ter velika starševska spalnica z kopalnico in sanitarijami V nadstropju se nahajata dve ločeni dvosobni stanovanji in soba za goste s kopalnico. Okolica hiše je delno za zelena, pred hišo je veliko parkirišče in garaža . Zemljišče je v celoti ograjeno, vse je pokrito z videonadzorom in alarmom. Trenutno je verjetno ena najlepših hiš, ki se prodajajo v Ljubljani. Vljudno vabljeni k ogledu! V agenciji Stan nepremičnine vam ponujamo BREZPLAČEN POSVET pri prodaji vaše nepremičnine in nakupu nepremičnine, ki najbolj ustreza vašim željam in življenjskem slogu. Stopite v stik z nami in si rezervirajte vam ustrezen termin."
"479.000,00","LJ. MOSTE, BLIŽINA TRŽNICE",300,1902,Hiša, Samostojna,"Stoja trade, d.o.o., Ljubljana ","Prodamo starejšo hišo z dvema pomožnima objektoma ter intimno ravno parcelo pravilne oblike. Stanovanjski objekt v bruto izmeri cca. 260 m2 obsega klet (cca. 60 m2), pritličje, nadstropje in mansardo. Razporeditev prostorov pritličja v enem delu obsega kuhinjo, dnevno sobo s spalnico, shrambo, kopalnico, večnamenski prostor ter izhod na vrt. V drugem delu pa se nahajajo še trije prostori (cca. 45 m2), ki pa niso adaptirani. Nadstropje obsega (cca. 95 m2 plus balkon in terasa cca. 20 m2) vežo s stopniščem, hodnik, balkon, teraso, kopalnico, velik dnevno-bivalen prostor s kuhinjo in jedilnico ter izhodom na teraso, spalnico ter dve mladinski sobi. Druga dva objekta obsegata poslovni prostor v cca. izmeri 33,7 m2 z mansardo in pa ločen zidan objekt (pritličje + mansarda) v izmeri cca. 26 m2, ki ga je mogoče uporabiti za bivanje ali garažo. Objekti so potrebni celovite prenove ali rušitve, po lokacijski informaciji pa je na parceli dovoljena tudi gradnja dodatne dvostanovanjske hiše ali dvojčka. Prav tako je možna parcelacija na dve parceli, kar predstavlja še dodaten plus. V neposredni bližini je celotna potrebna infrastruktura, ki je dostopna peš, do strogega centra mesta pa je 2,7 km in 1,5 km od BTC. Brez bremen, na voljo takoj, vabljeni k ogledu!  Pogoj lastnika za sklenitev posla: Kupec plača davek na promet nepremičnin v višini 2 % prodajne cene. Kupec ne plača agencijske provizije."
"479.000,00","LJ. MOSTE, CENTER MOST",300,1935,Hiša, Samostojna,Zasebna ponudba,"Na iskani lokaciji v centru Most prodamo ogromno zemljišče s samostojno hišo in dvemi objekti (1 minuta hoje od tržnice Moste). Zemljišče je edinstveno, saj meri kar 823m2, na njem pa stoji večstanovanjska hiša v izmeri cca 200m2 + klet cca 60m2. Hiša ima pritličje, prvo nadstropje (kjer sta tudi terasa velika 20m2 in balkon) ter podstreho.   Na zemlji se nahajata še dva objekta in sicer poslovni prostor v izmeri 38m2 z mansardo v katerem se trenutno shranjujejo stvari (prej je bila pisarna). Ima elektriko, vodo in ogrevanje.Poleg tega pa je na zemljišču še zidan objekt v izmeri cca 40m2, ki je bil včasih namenjen bivanju (pritličje + mansarda), ki ima elektriko, sedaj pa služi kot garaža.Celotnega zemljišča se iz ceste ne vidi, saj se večji del nahaja za hišo in ravno to da vrtu pravi čar, saj zagotavlja intimo in mir. Vrt je urejen, prava zelena sprostitev sredi centra Lj, na njem so gredice, sadovnjak (3 drevesa češnje, kivi, jablane, drevesa hrušk, sliva, figa, trta, maline, ribez...). 𝐑𝐚𝐳𝐩𝐨𝐫𝐞𝐝𝐢𝐭𝐞𝐯 𝐩𝐫𝐨𝐬𝐭𝐨𝐫𝐨𝐯 𝐬𝐭𝐚𝐧𝐨𝐯𝐚𝐧𝐣𝐚 𝐯 𝟏. 𝐧𝐚𝐝𝐬𝐭𝐫𝐨𝐩𝐣𝐮 (𝐜𝐜𝐚 𝟗𝟓 𝐦𝟐 + 𝐛𝐚𝐥𝐤𝐨𝐧 + 𝐭𝐞𝐫𝐚𝐬𝐚 𝟐𝟎𝐦𝟐) • veža s stopniščem• dolg, ozek hodnik• balkon• terasa• kopalnica• izjemno velika, svetla, dnevna soba povezana z kuhinjo in jedilnim prostorom. Iz dnevne sobe je izhod - drsna steklena vrata na teraso.• predprostor• spalnica• 2 x soba𝐑𝐚𝐳𝐩𝐨𝐫𝐞𝐝𝐢𝐭𝐞𝐯 𝐩𝐫𝐨𝐬𝐭𝐨𝐫𝐨𝐯 𝐯 𝐩𝐫𝐢𝐭𝐥𝐢𝐜𝐧𝐞𝐦 𝐬𝐭𝐚𝐧𝐨𝐯𝐚𝐧𝐣𝐮:• kuhinja• velika dnevna soba s spalnico• shramba• kopalnica• soba za shranjevanje (20m2)• izhod na vrtV pritličju se v drugi polovici nahajajo še trije prostori v izmeri  cca45m2, ki niso adaptirani.Hiša ima vse priključke in je ogrevana na mestni plin - centralno ogrevanje. Na podlagi lokacijske informacije in posveta z geodetom, je na zemljišču dovoljena še dodatna gradnja raznoraznih objektov (npr. hiša, dvojček..), lahko pa se zemljišče tudi razparcelira (ni pogoj, samo predlog) v dve, ločeni parceli veliki cca 400m2, kjer se zgradi dodatno večstanovanjsko hišo ali kaj drugega.V neposredni bližini se nahaja vsa potrebna infrastruktura: osnovna šola, vrtec, gimnazija Moste, zdravstveni dom, upravna enota, športno društvo in stadion Partizan, banka, pošta, lokali, knjižnica, Mercator, gledališče Španski Borci, LPP..).Zemljiška knjiga urejena, hiša je v lasti ene osebe (100% lastniški delež) in je prosta bremen.𝐄𝐍𝐊𝐑𝐀𝐓𝐍𝐀 𝐏𝐑𝐈𝐋𝐎𝐙𝐍𝐎𝐒𝐓!Glede na dejstvo, da je zemljišče v centru Most, le 2,7km oddaljeno od centra Ljubljane - Zmajskega mostu in 1,5 km oddaljeno od BTC-ja, je to edinstvena poslovna priložnost, saj so tako velike parcele na takšnih lokacijah prava redkost. DODATNI PLUS: Ponudba je zasebna, brez posredovanja nepremičninskih agencij, zato NI potrebno plačati nobene provizije agentom. Kontakt:041 283 879 - Taja"
"cca 800.000,00","LJ. MOSTE, CESTA V KOSTANJ",360,2007,Hiša, Samostojna,Zasebna ponudba,"Hiša je izdelana za našo druzinu z našim gradbenim podetjem,nekaj nadstandartno kvalitetno za mnoge generacije, na trdem peskovnem terenu pri hribu Golovec.Možno za 3 družine. vsaka etaža 110 m2, skupaj 330 m2+manjša polklet 30 m2 posebnim vhodom. Vse je izdelano stanovanjsko in samostojno v mirnem naselju. Primerno za investiciju za oddajo. Centralno topla voda in kuhanje je na zemaljski plin in elektriku. Kopaljnice,hodniki,kuhnji so taljno grevanje in z radijatorami. 2 spalnica povezane z svojo kopalnico in WC posebi.Zgorni štuk ima stanovanje 50 m2 z svijo kuhnjo in kupalnico z izhodom na veliko teraso. 2 sobe imajo kopaljnico z izhodom na balkon.Drugi balkon se pride z stopnišča zgornjemu štuku,pripada komplekt postrešje 120 m2. Polukletu je prostor za bivanje z kupaljnico in 2 sobi in velika telovadnica. Vhod v poluklet posebe. Cena 800000 ev.. Vabljeni na ogled. radislavkojic@gmail.com"
"410.000,00","LJ. MOSTE, DOBRUNJE","404,7",1976,Hiša, Dvostanovanjska,Vizija Lina Ina Poglajen s.p. ,"IŠČEM KUPCA, KI BI INVESTIRAL DENAR V NEPREMIČNINO IN MESEČNO DOBIVAL OBRESTI (ZAGOTOVLJENO NAJEMNINO). NA VOLJO JE HIŠA IN GOSPODARSKO POSLOPJE - Z NAJEMNIKI. Hiša  ima sicer GD in UD za dve stanovanji. Oddano je tudi gospodarsko poslopje in garaža. Oddajajo se tri stanovanja: 1. eno v pritličju meri 24 m2,  2. drugo meri 54,8 m2 + garaža 25,80 m2 v kateri ima stranka delavnico + klet 1,6 m2  3. tretje 129 m2 + trasa 25,60 m2 + klet 6,80 m2 4.delavnica (25,80 m2) 5. kurilnica 5 m2. 6. Na voljo je tudi gospodarsko poslopje - velika delavnica in garaža.  Za vse imajo najemnik, redni plačniki. ŽELJA LASTNIKA JE PRODATI VSE NOVEMU LASTNIKU, KI BI OBDRŽAL NAJEMNIKE. Resni kupci se lahko oglasite, da vam pokažemo fotografije. Organizirali bomo tudi sestanek z lastnikom, da vas o vsem seznani. Kupec plača davek na promet (2%)."
"239.805,00","LJ. MOSTE, PODGRAD","211,25",2021,Hiša, Dvojček,MESTO NEPREMIČNIN d.o.o. ,"Enota dvojčka v Podgradu(P+1+M, l. 2021, III. podaljšana gradbena faza) Prodamo kakovostno zgrajeno enoto dvojčka na mirni lokaciji, v objemu narave - bližina gozda in potoka. Enota ima pakirno mesto za dve osebni vozili ter lasten vrt, ki omogoča uživanje v sončnih pogledih na neokrnjeno naravo. Hiša je zasnovana P+1+M, poleg tega ponuja možnost lastne razporeditve prostorov. Objekt bo zgrajen do III. podaljšane gradbene faze, z možnostjo izgradnje na ključ. DDV je vključen v ceno. KUPEC NE PLAČA PROVIZIJE! OSNOVNE ZNAČILNOSTI Garaža ali pokrito parkirno mesto: da, dve parkirni mesti pred hišo (možna postavitev nadstreška) Število spalnic: 3-4 Število kopalnic: 1 kopalnica in dodatno ločen WC za goste POVRŠINA Skupne površine: 211,25 m2 Bivalne površine: 192,45 m2 Terasa: 18,8 m2 Površina zemljišča: 300,81 m2 RAZPOREDITEV SOB PRITLIČJE (66.75 m2): predprostor z garderobo, WC, stopnišče z jedilnico, kuhinja s shrambo, dnevni prostor z izhodom na teraso in vrt NADSTROPJE (65,8 m2): spalnica, garderobna soba, dve sobi/spalnici, kopalnica, hodnik s stopniščem MANSARDA (59,9 m2): večnamenski prostor/soba/spalnica z izhodom na teraso OPREMA Hiša je zgrajena do III. podaljšane gradbene faze. Po dogovoru je možno dokončanje na ključ. Kakovostna gradnja Opeka PORTOTHERM Opečna kritina TONDACH v sivi barvi PVC okna, s troslojno zasteklitvijo in pripravo za senčila Vhodna vrata PIRNAR Vgrajen OGM dimnik za kamin Fasada bo v beli barvi, kovinska ograja in keramika v sivi barvi PRIKLJUČKI Internet: optika Ogrevanje: toplotna črpalka LEGA VZHOD ZAHOD JUG INFRASTRUKTURA Hiša se nahaja na mirni lokaciji, v bližini gozda in potoka. Do AC priključka je cca. 7 minut vožnje, do Zaloga pa približno minuto, kjer je tudi vsa potrebna infrastruktura. Najbližja postaja LPP je v Zalogu, oddaljena 2,4 km. DODATNOZA VEČ INFORMACIJ NAS POKLIČITE. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"498.000,00","LJ. MOSTE, POLJE","237,2",1987,Hiša, Samostojna,MA - nepremičninska družba  Marko Alič s.p.,"POSREDUJEMO PRI PRODAJI. Pogoj prodajalca za sklenitev prodajne pogodbe je, da kupec prevzame del provizije za posredovanje in sicer v višini =2% + DDV. Vsa infrastruktura v neposredni bližini: trgovina, pošta, banka, bančni avtomati, postaje mestnega avtobusa, šola, vrtec. Bližina AC odcepa Ljubljana - Sneberje/Zadobrova. Veliko možnosti za sprehode in rekreacijo. Hiša skupne površine (po sedanjih podatkih GURS) =237,2 m2. OPOMBA: Po zadnjih geodetskih meritvah nepremičnine z dne 31. 05. 2021 znaša površina stavbe skupaj =419,30 m2  in sicer:  bivalni prostori =287,3 m2, klet =45,0 m2, garaža =27,8 m2, tehnični prostor =11,8 m2, pralnica, sušilnica, shrambe =16,2 m2, odprta terasa =8,0 m2, prostor z omejeno uporabo =23,0 m2. Omenjeni podatki so v fazi novega vpisa in potrditve v GURS evidence! Hiša zgrajena 1987 (podatki GURS) in vseljena od 1990/1991. Hiša orientirana: S - J.  Spalnica v bivalnem delu je orientirana na: S - z izhodom na teraso: JZ. Dnevna soba na: JZ - z izhodom na teraso: JZ.  Terasa: JZ (obilica popoldanskega sonca) in zelenja iz vrta v okolici. Kritina GERARD (kompletno obnovljena 2005). Zasteklitev: 2 slojna. Fasada: izolacija 7,5 cm kombi plošče + fasadni omet BAVALIT.  V hiši je možnost poslovnega prostora. KLET: garaža (za 2 avtomobila); WC z umivalnikom; delovni kabinet; kmečka soba; 2 shrambi; pralnica (tuš, umivalnik); kurilnica (plinska peč za CK znamke VAILLANT=zamenjava 2007); delavnica-fitnes soba. PRITLIČJE = BIVALNI DEL: vhod; hodnik; stopnišče; WC z umivalnikom; soba (otroška soba); kuhinja (kompletno opremljena) s prehodom v veliko jedilnico (mednivo z dnevno sobo, ki ima izhod na teraso). Velika dnevna soba s kaminom in izhodom na vrtno teraso in vrt: JZ.  Na vrtni terasi možna postavitev zunanjega žara (skupen dimnik dnevna soba-kamin-terasa). Pod vrtno teraso pomožni prostor za orodje. Ločena spalnica z lastnim garderobnim oddelkom in veliko kopalnico (kotna masažna banja, tuš, bide, WC. V kopalnici termostatsko električno talno gretje). Spalnica ima samostojen izhod na vrtno teraso in vrt: JZ. MANSARDA: stopnišče; hodnik; soba (možnost izdelave kuhinje=vsi priključki); kopalnica z WC; spalnica; velika dnevna soba (možnost izdelave balkona v smeri vrtne terase in vrta). Mansarda trenutno ni v uporabi."
"790.000,00","LJ. MOSTE, SOSTRO",340,2001,Hiša, Samostojna,"CIMER, MAKSIMILJAN REMIC s.p. "," Sestava; pritličje: vhod 12 m2, wc za goste 2,5 m2, dnevna soba 33,5 m2, jedilnica 38,5 m2, kuhinja 15,5 m2, shramba 4,6 m2, spalnica 12,3 m2, kopalnica 11,5 m2, garderoba 21,4 m2, kurilnica 5,4 m2, utility 9,9 m2, delavnica 15 m2; mansarda: 1 otroška soba 21 m2, 2 otroška soba 21 m2, terasa 22 m2, hodnik 16,5 m2, 3 soba (možnost kuhinja) 29,7 m2, kopalnica 8,4 m2, wc 2,5 m2, 6 podstrešje (neizdelano 32 m2), 4 soba podstrešje mansarda 13,7 m2, 5 pisarna mansarda 23 m2; več: cimer.remic@siol.net"
"452.000,00",BRDO,"209,8",1965,Hiša, Samostojna,"Gold nepremičnine, Mateja Kumer s.p. ","Samostojna hiša z večjim vrtom na Brdu Lepa, popolnoma obnovljena in dobro vzdrževana hiša na odlični lokaciji na Brdu je zasnovana  na način, ki vam nudi veliko udobja in zasebnosti, tako na zunaj na vrtu, kot tudi v sami hiši. Prostoren in svetel dnevni prostor s kuhinjo v pritličju nudi neposreden stik z vrtom, kjer lahko preživite sončne popoldneve. Izredno kvalitetna klasična gradnja, odlična ohranjenost notranjosti in zunanjosti ter občutek prostornosti in osončenosti so odlike, zaradi katerih hiša izstopa. Pri hiši je možno narediti zelenjavni vrt za samooskrbo. Postavljen je tudi nadstrešek za 2 avtomobila. Osnovne karakteristike Garaža ali pokrito parkirno mesto: da, nadstrešek za 2 osebni vozili Površina zemljišča: 517 m2  Število nadstropij: K+P+M Površina Skupne bruto površine: 210,25 m2 Bivalne površine: 175,25 m2 Kleti: 35 m2 Nadstrešek za 2 avta : cca. 30 m2 Površina zemljišča: 517 m2  Razporeditev prostorov in lega KLET: kurilnica in več ločenih shramb PRITLIČJE: predprostor, odprt dnevni prostor z izhodom na prostoren zimski vrt, kuhinja, jedilni prostor, spalnica in kopalnica z wc-jem. MANSARDA: prostoren predprostor (možnost izdelave dodatne sobe), 2 sobi in wc. Oprema in prenova Oprema vključena v ceno: da / vgradna oprema ostane v hiši oz. po dogovoru Leta 2000 je bila hiša popolnoma obnovljena (streha, fasada, podi, vse inštalacije – vodovodne, električne in plinske) Leta 2019 je urejena nova kuhinja in zimski vrt Priključki Internet: optika Ogrevanje: mestni plin in kamin v dnevnem prostoru PREDNOSTI NAKUPA Lokacija in infrastruktura Hiša se nahaja v mirnem, tihem in urejenem okolju, s hitrim dostopom do obvoznice.  Lokacija z vso infrastrukturo nudi vse prednosti mestnega življenja, hkrati pa omogoča hitri pobeg v naravo in aktivno preživljanje prostega časa.  V neposredni bližini se nahaja avtobusna postaja, osnovna šola, vrtec, banka, pošta, mesnica in trgovina.  Dodatno Vpisano v ZK in brez bremen. Ponudbeni pogoj prodajalca: kupec povrne del stroškov prodaje v višini 2%+DDV, obračunanih od pogodbene vrednosti nepremičnine. Za vsa dodatna pojasnila nas pokličite in z veseljem vam bomo odgovorili na vaša vprašanja ter vas povabili na ogled nepremičnine."
"795.000,00","LJ. MOSTE, SOSTRO","376,7",2007,Hiša, Samostojna,MKA nepremičnine d.o.o. ,"Hiša je velika 376,7m2 (bruto-z garažo, balkoni in teraso, neto 268,20m (neto) in obsega tri etaže (P+1N + 2N) s posameznim stanovanjem v vsaki etaži. Pritlično stanovanje obsega: predprostor oz hodnik, kurilnico, veliko dnevno sobo v povezavi s kuhinjo in jedilnim kotom, hodnik, dve sobi (ena z balkonom), kopalnico, izhod na atrijski del. V stanovanju v prvem nadstropju se nahajajo: hodnik, dve sobi, kopalnica ter kuhinja v povezavi z dnevnim prostorom in jedilnim kotom ter večjo teraso. Stanovanje v drugem nadstropju obsega hodnik, dve sobi (iz obeh izhod na balkon), kopalnico, priročno shrambo ter dnevno sobo v povezavi s kuhinjo in jedilnim kotom. Nad stanovanjem sta dva dodatna prostora. Vsa stanovanja so svetla, prostorna in zračna, trenutno opremljena (dogovor glede opreme) ter so povezana s skupnim svetlim stopniščem. V pritličju se nahaja tudi garaža. V vseh stanovanjih je v hodnih in v kopalnicah keramika, v ostalih prostorih parket oz vinil. Kjer je keramika, je urejeno talno gretje. Drugače se ogreva na elektriko (možno na kurilno olje).   Glede na razpored je možno hišo uporabljati kot trostanovanjsko (hiša je tudi etažirana). Hiša stoji na parceli veliki 331m2. Zemljišče okoli hiše je tlakovano in se uporablja kot parkirišče ter atrijski prostor. Lokacija omogoča hiter dostop do AC priključka, pri hiši je lpp postajališče… Vpisano v zemljiško knjigo."
"879.000,00","LJ. MOSTE, SOSTRO","416,2",2011,Hiša, Samostojna,MESTO NEPREMIČNIN d.o.o. ,"Samostojna hiša v Sostrem(P+1+M, l. 2011, 5 stanovanj) V Sostrem prodamo samostojno hišo, v kateri je izdelanih 5 stanovanjskih enot, ki omogočajo tržno oddajo z letnim RVC-jem v višini 40.000 €. Nakup je odlična priložnost za investicijo. Hiša obsega štiri 2-sobna stanovanja in eno 4-sobno stanovanje. Enote so med seboj popolnoma ločene, vgrajen je kalorimeter in odštevalnik za elektriko. V ceno je vključena vsa oprema. Pred objektom je na dvorišču prostor za 10 vozil. Hiša se nahaja na odlični lokaciji, v bližini vse potrebne infrastrukture (LPP, vrtec, šola, AC priključek). OSNOVNE ZNAČILNOSTI Parkirno mesto: da, cca 10 parkirnih mest Garaža: ne Število stanovanj: 5 stanovanj znotraj hiše Opremljeno: kompletno opremljeno POVRŠINA Skupne površine: 416,2 m2 Površina zemljišča: 563 m2 RAZPOREDITEV SOB PRITLIČJE: dvosobno in štirisobno stanovanje PRVO NADSTROPJE: dvosobno stanovanje MANSARDA: dve dvosobni stanovanji OPREMA Oprema vključena v ceno: da, hiša se prodaja kompletno opremljena Protivlomna vrata z domofonom Hiša je grajena klasično (armiran beton in opeka, vrhunska protipotresna statika, kvalitetno temeljenje)  PRIKLJUČKI Internet: da Ogrevanje: toplotna črpalka  PRENOVA Hiša je bila zgrajena l. 2011 LEGA Vse smeri neba INFRASTRUKTURA Odlična lokacija zagotavlja bivanje v mirnem in urejenem naselju, s hitrim dostopom do vse potrebne infrastrukture ter do avtoceste. V bližini se nahajajo: šola (2 min), vrtec (3 min), igrišča, lekarna (5 min), trgovina (2 min) itd.  DODATNO Možno vzeti v račun stanovanje, starejšo hišo ali parcelo v Ljubljani in okolici Ljubljane. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
